token,n,unique_ids,unique_authors
brooks,1,1,1
brown,1,1,1
bryophytes,1,1,1
bubbles,1,1,1
buildings,1,1,1
buoyant,1,1,1
burn,1,1,1
business,1,1,1
c143,1,1,1
ca,1,1,1
cabin,1,1,1
cabon,1,1,1
calculus,1,1,1
calibration,1,1,1
calving,1,1,1
campsite,1,1,1
canyon,1,1,1
cape,1,1,1
carbon:nitrogen,1,1,1
carbonyl,1,1,1
carex,1,1,1
caribou,1,1,1
carnivore,1,1,1
casa,1,1,1
cattle,1,1,1
caves,1,1,1
cell,1,1,1
center,1,1,1
centers,1,1,1
central,1,1,1
