"","identifier","word1","word2","word3"
"369","doi:10.18739/A2028PC7G","2014e","mass","balance"
"370","doi:10.18739/A2028PC7G","mass","balance","data.csv"
"371","doi:10.18739/A2028PC7G","balance","data.csv","2014e"
"372","doi:10.18739/A2028PC7G","data.csv","2014e","meteorological"
"373","doi:10.18739/A2028PC7G","2014e","meteorological","data.csv"
"374","doi:10.18739/A2028PC7G","meteorological","data.csv","2014e"
"375","doi:10.18739/A2028PC7G","data.csv","2014e","position"
"376","doi:10.18739/A2028PC7G","2014e","position","data.csv"
"377","doi:10.18739/A2028PD2H","mjolnir","pigments","updatedchla.csv"
"378","doi:10.18739/A2028PD5Z","dietrich","sap","flux.csv"
"379","doi:10.18739/A2028PD8D","database","tkhydrodatabase","31"
"380","doi:10.18739/A2028PD8D","tkhydrodatabase","31","dec"
"381","doi:10.18739/A2028PD8D","31","dec","2014"
"382","doi:10.18739/A2028PD8D","dec","2014","csv"
"383","doi:10.18739/A2028PD8D","2014","csv","doc"
"384","doi:10.18739/A2028PD8D","csv","doc","lability"
"385","doi:10.18739/A2028PD8D","doc","lability","database"
"386","doi:10.18739/A2028PD8D","lability","database","tk"
"387","doi:10.18739/A2028PD8D","database","tk","ldocdata"
"388","doi:10.18739/A2028PD8D","tk","ldocdata","22nov2013"
"389","doi:10.18739/A2028PD8D","ldocdata","22nov2013","csv"
"390","doi:10.18739/A2028PD8D","22nov2013","csv","site"
"391","doi:10.18739/A2028PD8D","csv","site","information"
"392","doi:10.18739/A2028PD8D","site","information","tkhydrodatabase"
"393","doi:10.18739/A2028PD8D","information","tkhydrodatabase","31"
"394","doi:10.18739/A2028PD8D","tkhydrodatabase","31","dec"
"395","doi:10.18739/A2028PD8D","31","dec","2014"
"396","doi:10.18739/A2028PD8D","dec","2014","csv"
"397","doi:10.18739/A2028PD8D","2014","csv","soil"
"398","doi:10.18739/A2028PD8D","csv","soil","gasses"
"399","doi:10.18739/A2028PD8D","soil","gasses","tk"
"400","doi:10.18739/A2028PD8D","gasses","tk","soilgasdata"
"401","doi:10.18739/A2028PD8D","tk","soilgasdata","22nov2013"
"402","doi:10.18739/A2028PD8D","soilgasdata","22nov2013","csv"
"403","doi:10.18739/A2028PD8D","22nov2013","csv","soilrespirationdatabase"
"404","doi:10.18739/A2028PD8D","csv","soilrespirationdatabase","tk"
"405","doi:10.18739/A2028PD8D","soilrespirationdatabase","tk","soilrespirationdata"
"406","doi:10.18739/A2028PD8D","tk","soilrespirationdata","22nov2013"
